hold_id,user_id,book_id,library_id,hold_date,release_date
39,393,B-060,L-08,2023-08-19,2023-08-26
40,58,B-400,L-04,2024-01-23,2024-01-30
41,635,B-255,L-03,2023-10-20,2023-10-27
42,104,B-148,L-02,2023-08-27,2023-09-03
43,439,B-363,L-03,2024-06-25,2024-07-02
44,626,B-236,L-02,2024-06-04,2024-06-11
45,259,B-138,L-04,2023-12-28,2024-01-04
46,315,B-336,L-08,2023-12-12,2023-12-19
47,630,B-417,L-02,2024-01-11,2024-01-18
48,358,B-348,L-03,2024-06-03,2024-06-10
49,151,B-256,L-06,2024-01-12,2024-01-19
50,82,B-086,L-08,2024-03-31,2024-04-07
51,643,B-066,L-07,2024-01-28,2024-02-04
52,35,B-032,L-04,2023-08-20,2023-08-27
53,24,B-187,L-08,2023-09-19,2023-09-26
54,308,B-047,L-05,2023-10-01,2023-10-08
55,179,B-177,L-02,2023-09-21,2023-09-28
56,554,B-237,L-06,2024-03-19,2024-03-26
57,407,B-229,L-03,2023-11-04,2023-11-11
58,320,B-150,L-04,2023-10-31,2023-11-07
59,315,B-347,L-07,2024-03-31,2024-04-07
60,356,B-746,L-05,2024-05-19,2024-05-26
61,431,B-726,L-05,2024-01-26,2024-02-02
62,133,B-676,L-06,2023-07-01,2023-07-08
63,374,B-391,L-05,2023-08-21,2023-08-28
64,142,B-529,L-02,2023-09-27,2023-10-04
65,643,B-426,L-08,2024-05-03,2024-05-10
66,479,B-739,L-02,2023-11-18,2023-11-25
67,120,B-590,L-04,2023-09-14,2023-09-21
68,226,B-244,L-04,2023-10-14,2023-10-21
69,201,B-047,L-07,2024-05-23,2024-05-30
70,189,B-527,L-07,2023-09-09,2023-09-16
71,384,B-180,L-05,2024-05-03,2024-05-10
72,642,B-038,L-01,2024-05-17,2024-05-24
73,12,B-578,L-04,2023-12-11,2023-12-18
74,392,B-481,L-06,2024-01-09,2024-01-16
75,21,B-489,L-03,2023-10-07,2023-10-14
76,399,B-416,L-06,2024-02-12,2024-02-19
77,305,B-530,L-08,2024-01-18,2024-01-25
78,496,B-078,L-04,2023-09-01,2023-09-08
79,307,B-257,L-01,2023-09-14,2023-09-21
80,580,B-215,L-05,2024-05-01,2024-05-08
81,257,B-624,L-01,2023-07-03,2023-07-10
82,304,B-647,L-05,2024-02-10,2024-02-17
83,110,B-199,L-08,2023-06-22,2023-06-29
84,400,B-412,L-02,2024-02-11,2024-02-18
85,479,B-503,L-06,2024-02-17,2024-02-24
86,524,B-550,L-04,2023-06-17,2023-06-24
87,487,B-645,L-03,2023-12-20,2023-12-27
88,346,B-674,L-03,2023-06-25,2023-07-02
89,357,B-696,L-07,2023-08-30,2023-09-06
90,299,B-150,L-01,2023-12-11,2023-12-18
91,142,B-448,L-08,2024-06-16,2024-06-23
92,437,B-058,L-06,2024-03-25,2024-04-01
93,334,B-526,L-05,2023-11-09,2023-11-16
94,353,B-424,L-07,2023-07-12,2023-07-19
95,571,B-584,L-05,2023-10-01,2023-10-08
96,429,B-437,L-04,2023-10-02,2023-10-09
97,136,B-085,L-03,2023-10-15,2023-10-22
98,614,B-579,L-03,2024-05-31,2024-06-07
99,23,B-572,L-07,2023-09-25,2023-10-02
100,64,B-324,L-03,2024-05-09,2024-05-16
101,105,B-539,L-02,2023-10-13,2023-10-20
102,378,B-529,L-07,2023-09-02,2023-09-09
103,451,B-136,L-05,2023-07-04,2023-07-11
104,344,B-545,L-02,2023-11-03,2023-11-10
105,286,B-372,L-03,2023-06-23,2023-06-30
106,495,B-523,L-04,2024-01-24,2024-01-31
107,300,B-524,L-08,2024-01-15,2024-01-22
108,189,B-329,L-01,2023-06-26,2023-07-03
109,307,B-743,L-07,2024-06-07,2024-06-14
110,43,B-375,L-06,2023-11-19,2023-11-26
111,94,B-424,L-05,2024-03-30,2024-04-06
112,571,B-305,L-03,2023-08-28,2023-09-04
113,650,B-401,L-07,2024-02-21,2024-02-28
114,429,B-332,L-04,2023-06-18,2023-06-25
115,369,B-098,L-06,2024-01-10,2024-01-17
116,29,B-003,L-03,2023-11-24,2023-12-01
117,586,B-049,L-04,2024-04-12,2024-04-19
118,297,B-125,L-01,2023-12-20,2023-12-27
119,91,B-553,L-06,2024-03-05,2024-03-12
120,195,B-108,L-03,2023-10-12,2023-10-19
121,578,B-654,L-04,2023-08-13,2023-08-20
122,291,B-018,L-03,2024-02-15,2024-02-22
123,162,B-681,L-02,2024-04-21,2024-04-28
124,129,B-606,L-05,2023-12-17,2023-12-24
125,323,B-323,L-01,2024-04-24,2024-05-01
126,50,B-378,L-07,2024-02-11,2024-02-18
127,252,B-731,L-03,2024-01-10,2024-01-17
128,29,B-026,L-03,2024-02-25,2024-03-03
129,206,B-584,L-05,2024-03-11,2024-03-18
130,519,B-347,L-02,2023-11-07,2023-11-14
131,25,B-179,L-03,2023-07-05,2023-07-12
132,132,B-658,L-06,2023-07-16,2023-07-23
133,173,B-016,L-02,2024-05-29,2024-06-05
134,504,B-443,L-01,2023-11-06,2023-11-13
135,592,B-677,L-05,2024-06-23,2024-06-30
136,339,B-269,L-05,2024-01-28,2024-02-04
137,94,B-403,L-06,2024-02-28,2024-03-06
138,320,B-527,L-03,2024-04-29,2024-05-06
139,403,B-530,L-08,2024-05-01,2024-05-08
140,79,B-302,L-07,2024-02-27,2024-03-05
141,635,B-343,L-04,2023-08-12,2023-08-19
142,447,B-278,L-06,2024-05-21,2024-05-28
143,592,B-178,L-04,2024-01-23,2024-01-30
144,489,B-374,L-06,2023-07-13,2023-07-20
145,177,B-343,L-01,2024-06-23,2024-06-30
146,368,B-563,L-01,2024-05-30,2024-06-06
147,464,B-441,L-08,2023-10-12,2023-10-19
148,598,B-394,L-06,2023-09-26,2023-10-03
149,58,B-218,L-01,2024-01-18,2024-01-25
150,487,B-257,L-04,2023-06-10,2023-06-17
151,82,B-754,L-08,2023-08-26,2023-09-02
152,639,B-211,L-02,2023-12-01,2023-12-08
153,404,B-244,L-01,2024-06-28,2024-07-05
154,39,B-580,L-04,2024-03-01,2024-03-08
155,248,B-404,L-06,2024-01-26,2024-02-02
156,628,B-287,L-05,2024-03-22,2024-03-29
157,396,B-185,L-03,2023-06-02,2023-06-09
158,491,B-253,L-06,2023-07-03,2023-07-10
159,507,B-642,L-07,2024-06-17,2024-06-24
160,546,B-464,L-05,2024-06-13,2024-06-20
161,236,B-114,L-05,2023-09-13,2023-09-20
162,252,B-690,L-02,2024-03-11,2024-03-18
163,554,B-779,L-05,2023-09-17,2023-09-24
164,609,B-420,L-01,2023-12-22,2023-12-29
165,65,B-403,L-06,2024-02-28,2024-03-06
166,381,B-671,L-05,2023-07-16,2023-07-23
167,383,B-117,L-05,2023-09-16,2023-09-23
168,98,B-023,L-01,2023-10-27,2023-11-03
169,20,B-439,L-06,2024-06-09,2024-06-16
170,552,B-759,L-01,2023-07-30,2023-08-06
171,162,B-200,L-06,2023-08-22,2023-08-29
172,99,B-086,L-06,2023-09-08,2023-09-15
173,88,B-710,L-04,2024-04-01,2024-04-08
174,171,B-361,L-01,2023-06-03,2023-06-10
175,430,B-447,L-02,2024-04-08,2024-04-15
176,16,B-271,L-02,2023-09-09,2023-09-16
177,25,B-178,L-05,2024-02-19,2024-02-26
178,63,B-616,L-04,2023-06-22,2023-06-29
179,584,B-390,L-04,2024-01-04,2024-01-11
180,426,B-701,L-02,2023-09-11,2023-09-18
181,426,B-625,L-03,2024-06-04,2024-06-11
182,33,B-417,L-03,2023-08-08,2023-08-15
183,630,B-679,L-02,2023-11-28,2023-12-05
184,219,B-095,L-07,2024-06-22,2024-06-29
185,170,B-688,L-05,2024-05-28,2024-06-04
186,159,B-742,L-04,2024-03-26,2024-04-02
187,411,B-638,L-07,2023-09-11,2023-09-18
188,123,B-001,L-03,2023-06-09,2023-06-16
189,597,B-488,L-04,2023-08-29,2023-09-05
190,143,B-540,L-08,2023-06-23,2023-06-30
191,400,B-340,L-07,2023-11-24,2023-12-01
192,420,B-593,L-05,2024-03-05,2024-03-12
193,465,B-231,L-08,2023-12-28,2024-01-04
194,64,B-330,L-04,2024-05-29,2024-06-05
195,269,B-106,L-02,2023-12-03,2023-12-10
196,596,B-307,L-04,2023-12-26,2024-01-02
197,166,B-114,L-03,2024-05-28,2024-06-04
198,210,B-543,L-04,2023-12-04,2023-12-11
199,372,B-103,L-02,2023-07-17,2023-07-24
200,405,B-419,L-07,2023-12-15,2023-12-22
201,243,B-201,L-07,2023-06-29,2023-07-06
202,370,B-367,L-08,2023-10-29,2023-11-05
203,24,B-437,L-02,2023-10-29,2023-11-05
204,355,B-277,L-05,2023-07-16,2023-07-23
205,521,B-754,L-06,2023-09-21,2023-09-28
206,457,B-135,L-05,2024-04-02,2024-04-09
207,596,B-346,L-05,2023-12-05,2023-12-12
208,313,B-199,L-04,2023-11-16,2023-11-23
209,359,B-090,L-02,2023-11-29,2023-12-06
210,405,B-692,L-02,2024-02-11,2024-02-18
211,232,B-345,L-03,2024-01-29,2024-02-05
212,475,B-136,L-05,2024-06-12,2024-06-19
213,494,B-472,L-05,2023-07-06,2023-07-13
214,217,B-122,L-08,2024-04-06,2024-04-13
215,222,B-347,L-02,2023-09-19,2023-09-26
216,157,B-112,L-04,2023-10-13,2023-10-20
217,180,B-666,L-05,2024-05-07,2024-05-14
218,205,B-104,L-08,2024-06-18,2024-06-25
219,397,B-411,L-01,2024-05-30,2024-06-06
220,7,B-744,L-05,2023-08-04,2023-08-11
221,273,B-497,L-01,2023-10-10,2023-10-17
222,415,B-502,L-03,2024-06-24,2024-07-01
223,534,B-119,L-02,2024-06-24,2024-07-01
224,410,B-546,L-03,2023-12-23,2023-12-30
225,565,B-692,L-06,2023-12-03,2023-12-10
226,157,B-742,L-03,2023-07-20,2023-07-27
227,490,B-171,L-06,2023-12-09,2023-12-16
228,116,B-289,L-01,2023-09-11,2023-09-18
229,15,B-748,L-03,2023-09-06,2023-09-13
230,274,B-674,L-07,2023-12-05,2023-12-12
231,478,B-553,L-05,2024-03-25,2024-04-01
232,547,B-467,L-02,2024-02-09,2024-02-16
233,421,B-646,L-06,2024-04-20,2024-04-27
234,402,B-376,L-02,2023-08-29,2023-09-05
235,531,B-006,L-04,2024-05-20,2024-05-27
236,242,B-508,L-05,2023-08-03,2023-08-10
237,345,B-544,L-06,2023-11-21,2023-11-28
238,79,B-233,L-03,2023-11-16,2023-11-23
239,481,B-158,L-08,2023-06-05,2023-06-12
240,63,B-680,L-08,2024-03-29,2024-04-05
241,495,B-600,L-02,2023-08-30,2023-09-06
242,237,B-505,L-02,2023-07-21,2023-07-28
243,458,B-249,L-06,2023-07-09,2023-07-16
244,180,B-333,L-04,2023-09-25,2023-10-02
245,470,B-029,L-06,2024-06-23,2024-06-30
246,359,B-287,L-04,2024-03-25,2024-04-01
247,69,B-091,L-01,2024-01-21,2024-01-28
248,436,B-742,L-04,2024-04-25,2024-05-02
249,484,B-248,L-02,2023-12-14,2023-12-21
250,543,B-510,L-07,2024-06-08,2024-06-15
251,460,B-534,L-02,2023-10-12,2023-10-19
252,553,B-733,L-08,2024-01-05,2024-01-12
253,17,B-593,L-08,2023-10-10,2023-10-17
254,616,B-202,L-07,2024-04-17,2024-04-24
255,642,B-074,L-06,2024-01-26,2024-02-02
256,255,B-351,L-07,2023-07-28,2023-08-04
257,378,B-349,L-06,2024-02-22,2024-02-29
258,568,B-419,L-01,2024-05-09,2024-05-16
259,246,B-497,L-03,2023-10-31,2023-11-07
260,275,B-595,L-08,2024-04-01,2024-04-08
261,334,B-400,L-07,2024-01-24,2024-01-31
262,615,B-130,L-01,2023-12-25,2024-01-01
263,267,B-361,L-08,2023-10-15,2023-10-22
264,602,B-304,L-01,2024-02-14,2024-02-21
265,354,B-252,L-05,2023-11-26,2023-12-03
266,436,B-029,L-05,2024-03-27,2024-04-03
267,629,B-025,L-01,2023-06-09,2023-06-16
268,136,B-162,L-04,2024-04-27,2024-05-04
269,393,B-341,L-02,2023-12-04,2023-12-11
270,77,B-067,L-02,2023-07-26,2023-08-02
271,543,B-748,L-05,2024-02-26,2024-03-04
272,240,B-484,L-04,2024-03-09,2024-03-16
273,639,B-574,L-01,2023-09-13,2023-09-20
274,175,B-536,L-06,2023-12-28,2024-01-04
275,281,B-084,L-02,2024-01-20,2024-01-27
276,585,B-338,L-01,2024-04-01,2024-04-08
277,179,B-175,L-08,2023-10-27,2023-11-03
278,205,B-752,L-04,2024-04-03,2024-04-10
279,329,B-463,L-01,2023-06-02,2023-06-09
280,423,B-512,L-07,2023-06-16,2023-06-23
281,360,B-400,L-01,2024-05-11,2024-05-18
282,3,B-493,L-02,2023-10-24,2023-10-31
283,640,B-647,L-02,2023-07-15,2023-07-22
284,425,B-188,L-08,2024-05-26,2024-06-02
285,349,B-614,L-05,2023-06-05,2023-06-12
286,419,B-403,L-07,2023-07-11,2023-07-18
287,518,B-424,L-07,2024-01-17,2024-01-24
288,132,B-404,L-06,2023-09-07,2023-09-14
289,16,B-059,L-05,2024-05-22,2024-05-29
290,268,B-540,L-08,2023-06-14,2023-06-21
291,204,B-431,L-04,2024-03-04,2024-03-11
292,269,B-643,L-01,2023-08-18,2023-08-25
293,637,B-614,L-07,2024-01-26,2024-02-02
294,508,B-454,L-08,2024-03-19,2024-03-26
295,225,B-164,L-08,2024-02-19,2024-02-26
296,163,B-680,L-08,2023-11-13,2023-11-20
297,198,B-348,L-01,2023-11-29,2023-12-06
298,167,B-189,L-04,2024-04-08,2024-04-15
299,448,B-163,L-05,2024-04-27,2024-05-04
300,440,B-353,L-05,2023-08-06,2023-08-13
301,124,B-255,L-04,2023-07-12,2023-07-19
302,582,B-409,L-01,2023-12-17,2023-12-24
303,589,B-126,L-02,2024-01-31,2024-02-07
304,140,B-654,L-07,2024-03-12,2024-03-19
305,623,B-774,L-03,2024-03-26,2024-04-02
306,486,B-731,L-08,2024-05-09,2024-05-16
307,242,B-245,L-05,2024-05-02,2024-05-09
308,190,B-607,L-05,2023-07-03,2023-07-10
309,238,B-485,L-03,2023-12-31,2024-01-07
310,542,B-595,L-04,2024-02-06,2024-02-13
311,110,B-667,L-08,2023-07-26,2023-08-02
312,528,B-722,L-08,2023-11-03,2023-11-10
313,85,B-558,L-01,2023-11-17,2023-11-24
314,54,B-753,L-07,2023-07-17,2023-07-24
315,1,B-088,L-08,2024-06-09,2024-06-16
316,604,B-010,L-05,2024-01-28,2024-02-04
317,605,B-693,L-07,2023-06-12,2023-06-19
318,461,B-398,L-08,2023-09-22,2023-09-29
319,323,B-123,L-02,2023-07-27,2023-08-03
320,450,B-143,L-01,2023-06-11,2023-06-18
321,614,B-762,L-06,2023-09-10,2023-09-17
322,513,B-010,L-02,2024-01-16,2024-01-23
323,228,B-566,L-04,2023-07-19,2023-07-26
324,504,B-588,L-01,2023-06-15,2023-06-22
325,611,B-599,L-08,2024-04-27,2024-05-04
326,384,B-719,L-03,2024-06-14,2024-06-21
327,577,B-128,L-07,2023-09-30,2023-10-07
328,241,B-176,L-03,2023-11-09,2023-11-16
329,565,B-339,L-07,2024-04-01,2024-04-08
330,443,B-522,L-03,2023-06-20,2023-06-27
331,137,B-373,L-01,2023-10-15,2023-10-22
332,23,B-185,L-06,2024-01-06,2024-01-13
333,335,B-383,L-04,2023-09-29,2023-10-06
334,280,B-535,L-08,2023-09-01,2023-09-08
335,19,B-305,L-06,2023-09-26,2023-10-03
336,276,B-387,L-03,2023-11-01,2023-11-08
337,236,B-346,L-05,2023-12-08,2023-12-15
338,309,B-320,L-03,2023-09-18,2023-09-25
339,15,B-507,L-04,2024-02-24,2024-03-02
340,207,B-638,L-08,2023-12-28,2024-01-04
341,363,B-133,L-05,2023-12-17,2023-12-24
342,485,B-713,L-04,2023-08-19,2023-08-26
343,486,B-033,L-04,2023-09-26,2023-10-03
344,439,B-343,L-08,2024-04-22,2024-04-29
345,422,B-176,L-02,2023-06-14,2023-06-21
346,605,B-513,L-05,2024-02-25,2024-03-03
347,35,B-327,L-03,2023-11-28,2023-12-05
348,290,B-075,L-08,2024-06-12,2024-06-19
349,472,B-094,L-01,2024-03-04,2024-03-11
350,227,B-061,L-04,2024-06-09,2024-06-16
351,345,B-701,L-08,2023-08-26,2023-09-02
352,156,B-663,L-08,2023-09-21,2023-09-28
353,104,B-589,L-08,2024-01-03,2024-01-10
354,72,B-088,L-04,2024-06-02,2024-06-09
355,506,B-603,L-02,2024-03-29,2024-04-05
356,562,B-197,L-07,2024-05-30,2024-06-06
357,271,B-613,L-05,2024-02-28,2024-03-06
358,545,B-215,L-05,2023-12-27,2024-01-03
359,404,B-639,L-01,2023-08-14,2023-08-21
360,408,B-343,L-07,2024-03-21,2024-03-28
361,137,B-103,L-01,2023-12-02,2023-12-09
362,172,B-503,L-06,2024-02-14,2024-02-21
363,369,B-346,L-04,2024-05-26,2024-06-02
364,631,B-020,L-06,2023-08-09,2023-08-16
365,476,B-753,L-03,2023-08-23,2023-08-30
366,431,B-623,L-02,2024-05-31,2024-06-07
367,281,B-001,L-04,2023-06-30,2023-07-07
368,336,B-404,L-01,2023-10-09,2023-10-16
369,191,B-310,L-07,2023-10-13,2023-10-20
370,485,B-057,L-01,2024-04-16,2024-04-23
371,537,B-307,L-05,2024-05-31,2024-06-07
372,532,B-291,L-03,2024-06-24,2024-07-01
373,403,B-535,L-02,2023-07-05,2023-07-12
374,99,B-047,L-07,2024-06-10,2024-06-17
375,518,B-553,L-03,2023-08-20,2023-08-27
376,373,B-425,L-08,2023-11-16,2023-11-23
377,585,B-684,L-05,2023-12-02,2023-12-09
378,120,B-216,L-07,2024-05-13,2024-05-20
379,531,B-675,L-04,2023-12-30,2024-01-06
380,107,B-641,L-02,2023-12-04,2023-12-11
381,87,B-533,L-08,2023-12-19,2023-12-26
382,418,B-289,L-03,2024-06-25,2024-07-02
383,176,B-095,L-01,2024-02-03,2024-02-10
384,274,B-302,L-01,2023-10-26,2023-11-02
385,235,B-268,L-06,2023-06-16,2023-06-23
386,59,B-014,L-01,2023-08-04,2023-08-11
387,514,B-407,L-01,2024-02-22,2024-02-29
388,88,B-240,L-06,2024-03-22,2024-03-29
389,52,B-089,L-06,2024-04-17,2024-04-24
390,398,B-378,L-07,2023-08-12,2023-08-19
391,470,B-027,L-03,2024-03-24,2024-03-31
392,549,B-740,L-07,2024-02-07,2024-02-14
393,411,B-499,L-05,2023-08-31,2023-09-07
394,140,B-233,L-07,2023-12-14,2023-12-21
395,102,B-154,L-01,2023-12-16,2023-12-23
396,27,B-271,L-03,2024-04-18,2024-04-25
397,240,B-511,L-07,2023-12-26,2024-01-02
398,367,B-179,L-01,2024-06-04,2024-06-11
399,217,B-127,L-05,2024-02-03,2024-02-10
400,219,B-234,L-07,2023-07-02,2023-07-09
401,288,B-304,L-05,2023-08-23,2023-08-30
402,354,B-735,L-06,2023-06-21,2023-06-28
403,459,B-706,L-06,2023-09-03,2023-09-10
404,545,B-572,L-01,2024-05-03,2024-05-10
405,512,B-001,L-05,2023-09-19,2023-09-26
406,117,B-275,L-05,2024-01-31,2024-02-07
407,575,B-437,L-04,2023-06-11,2023-06-18
408,574,B-128,L-06,2024-04-08,2024-04-15
409,212,B-118,L-01,2023-09-19,2023-09-26
410,257,B-283,L-08,2024-03-25,2024-04-01
411,287,B-275,L-07,2024-03-02,2024-03-09
412,96,B-531,L-05,2023-06-11,2023-06-18
413,601,B-563,L-08,2023-06-02,2023-06-09
414,118,B-441,L-07,2023-09-07,2023-09-14
415,115,B-428,L-06,2024-06-02,2024-06-09
416,430,B-344,L-08,2023-09-23,2023-09-30
417,297,B-703,L-08,2024-05-01,2024-05-08
418,130,B-633,L-01,2023-09-26,2023-10-03
419,544,B-614,L-07,2024-05-04,2024-05-11
420,365,B-775,L-05,2023-06-07,2023-06-14
421,171,B-062,L-05,2024-06-26,2024-07-03
422,121,B-691,L-02,2023-09-16,2023-09-23
423,271,B-027,L-01,2024-05-11,2024-05-18
424,150,B-479,L-06,2024-05-21,2024-05-28
425,261,B-041,L-07,2024-06-08,2024-06-15
426,399,B-595,L-06,2023-10-14,2023-10-21
427,116,B-686,L-08,2023-07-27,2023-08-03
428,646,B-459,L-02,2024-01-22,2024-01-29
429,201,B-248,L-02,2024-06-26,2024-07-03
430,289,B-228,L-04,2024-03-19,2024-03-26
431,641,B-002,L-05,2023-09-09,2023-09-16
432,577,B-410,L-02,2023-07-15,2023-07-22
433,469,B-268,L-05,2023-08-28,2023-09-04
434,230,B-095,L-03,2024-04-18,2024-04-25
435,626,B-124,L-08,2023-07-17,2023-07-24
436,381,B-322,L-04,2024-01-13,2024-01-20
437,613,B-381,L-02,2023-08-20,2023-08-27
438,319,B-140,L-03,2024-01-05,2024-01-12
439,615,B-244,L-06,2023-08-23,2023-08-30
440,433,B-281,L-03,2023-11-03,2023-11-10
441,330,B-343,L-02,2024-03-21,2024-03-28
442,186,B-310,L-05,2023-09-26,2023-10-03
443,477,B-604,L-08,2024-02-22,2024-02-29
444,18,B-152,L-02,2023-12-02,2023-12-09
445,114,B-659,L-04,2024-06-25,2024-07-02
446,598,B-429,L-03,2023-07-19,2023-07-26
447,27,B-126,L-07,2023-06-17,2023-06-24
448,144,B-170,L-03,2024-04-11,2024-04-18
449,468,B-769,L-08,2023-11-11,2023-11-18
450,471,B-088,L-03,2024-06-08,2024-06-15
451,126,B-604,L-02,2024-02-26,2024-03-04
452,86,B-584,L-02,2024-02-01,2024-02-08
453,227,B-403,L-05,2023-07-20,2023-07-27
454,208,B-235,L-06,2023-09-30,2023-10-07
455,299,B-501,L-06,2023-07-19,2023-07-26
